D,W,A
0.42568,0.0284692,0.218983
0.42568,0.0284719,0.219031
0.425813,0.028474,0.219044
0.425813,0.0284844,0.219178
0.425813,0.0285234,0.219207
0.425813,0.0285348,0.219242
0.425813,0.0285369,0.219245
0.425813,0.0285449,0.219246
0.426021,0.0285463,0.219254
0.426021,0.028547,0.219255
0.426021,0.0285512,0.219266
0.426526,0.0285516,0.219296
0.426526,0.0285546,0.219404
0.426526,0.028564,0.219411
0.427228,0.0285888,0.219497
0.427228,0.0285908,0.219587
0.427228,0.0285913,0.219693
0.427228,0.0286001,0.219727
0.427228,0.0286316,0.219779
0.427228,0.0286329,0.219957
0.427228,0.0286381,0.219958
0.42746,0.0286428,0.220061
0.42746,0.028643,0.22008
0.42746,0.0286473,0.220225
0.42746,0.0286612,0.220265
0.42746,0.0286703,0.22027
0.42746,0.0286711,0.220284
0.42746,0.0286754,0.22031
0.42746,0.0286835,0.220407
0.42746,0.0286871,0.220516
0.427699,0.0286934,0.220519
0.427699,0.0287097,0.22052
0.427699,0.0287098,0.22054
0.427699,0.0287185,0.220587
0.427699,0.028719,0.220687
0.427699,0.0287345,0.220717
0.427924,0.0287515,0.220834
0.427924,0.028762,0.220906
0.427924,0.0287756,0.220995
0.427924,0.0287757,0.221203
0.427924,0.0287779,0.22131
0.427969,0.0287852,0.221359
0.42798,0.0288098,0.221389
0.42798,0.0288141,0.221393
0.428177,0.0288279,0.22143
0.428352,0.028829,0.221554
0.428352,0.0288363,0.221681
0.428598,0.0288495,0.221966
0.428598,0.0288548,0.221982
0.428598,0.0288589,0.221997
0.428598,0.0288619,0.222058
0.428598,0.0288867,0.222162
0.429118,0.0288933,0.222184
0.429118,0.0289162,0.2222
0.429118,0.0289238,0.222203
0.429374,0.0289564,0.222313
0.429374,0.0289572,0.222341
0.429374,0.0289591,0.222397
0.429693,0.0289685,0.222433
0.429693,0.0289902,0.222457
0.430217,0.0289993,0.222461
0.430217,0.0290054,0.222502
0.430217,0.029011,0.222619
0.430217,0.0290282,0.222628
0.430217,0.0290305,0.222644
0.430217,0.0290322,0.222666
0.430645,0.0290334,0.222719
0.430645,0.029037,0.222737
0.43073,0.0290422,0.222756
0.430772,0.0290434,0.222821
0.430772,0.0290444,0.222901
0.430905,0.0290552,0.222926
0.431158,0.029065,0.223025
0.431302,0.0290659,0.223039
0.43133,0.0290674,0.223092
0.43133,0.0290739,0.223155
0.43133,0.0290744,0.223264
0.431499,0.0290784,0.22342
0.431779,0.0290897,0.223509
0.431779,0.0291097,0.223602
0.431779,0.0291192,0.223674
0.431779,0.0291196,0.223684
0.432106,0.0291241,0.22374
0.432106,0.0291321,0.223753
0.432106,0.0291359,0.223865
0.43225,0.0291449,0.223916
0.43225,0.0291568,0.223999
0.43225,0.029158,0.224086
0.43225,0.0291668,0.224152
0.43225,0.0291805,0.224156
0.432794,0.0292,0.224178
0.432798,0.0292019,0.224252
0.432798,0.0292049,0.224341
0.432798,0.0292088,0.224352
0.432798,0.0292093,0.224406
0.432798,0.0292371,0.224499
0.432798,0.02925,0.224534
0.432798,0.0292691,0.224627
0.432798,0.0292834,0.224632
0.43304,0.0292841,0.224668
0.43304,0.0292895,0.224766
0.43304,0.0292978,0.224782
0.43304,0.0292999,0.224791
0.433156,0.0293009,0.224913
0.433156,0.0293022,0.22492
0.433156,0.0293188,0.224985
0.433156,0.0293199,0.224997
0.433156,0.0293226,0.22519
0.433219,0.0293246,0.22521
0.433219,0.0293356,0.225256
0.433233,0.0293403,0.225312
0.433233,0.0293417,0.225355
0.433669,0.0293577,0.225474
0.433669,0.0293726,0.225488
0.433669,0.0293839,0.225523
0.433669,0.0293872,0.225524
0.433669,0.0293958,0.225531
0.433953,0.029401,0.225548
0.433953,0.029404,0.225606
